Build Type,Date,Time,Application,Environment,Release,Publish Type,App Job Name,App Job Build Number,Spinner Job Name,Spinner Job Build Number,App Job Duration,Spinner Job Duration,Total Execution,Total Time (In mins.secs)
Auto,11/6/2016,23:46:00,WINDPLM,DEV3,wind_dev_4_6,db,PLM-WINDPLM-APP,1215,PLM-WINDPLM-DB,1033,5 mins 21 secs,0 mins 51 secs,6 mins 12 secs,6.12
Manual,11/7/2016,00:40:09,ENERGYPLM,DEV1,Release_6_1_34,db,PLM-ENERGYPLM-APP,466,PLM-ENERGYPLM-DB,381,7 mins 34 secs,0 mins 34 secs,8 mins 8 secs,8.8
Manual,11/7/2016,04:52:33,ENERGYPLM,DEV1,PGPLM_3DPDF_Test,all,PLM-ENERGYPLM-APP,467,PLM-ENERGYPLM-DB,382,8 mins 3 secs,1 mins 5 secs,9 mins 8 secs,9.8
Manual,11/7/2016,05:12:38,ENERGYPLM,QA1,Release_6_1_40,db,PLM-ENERGYPLM-APP,468,PLM-ENERGYPLM-DB,383,8 mins 12 secs,1 mins 19 secs,9 mins 32 secs,9.32
Manual,11/7/2016,06:05:08,ENERGYPLM,QA1,Release_6_1_40,db,PLM-ENERGYPLM-APP,469,PLM-ENERGYPLM-DB,384,2 mins 13 secs,0 mins 32 secs,2 mins 46 secs,2.46
Manual,11/7/2016,06:45:55,NuclearPLM,QA,Release_4_0,all,PLM-NuclearPLM-APP,140,PLM-NuclearPLM-DB,127,14 mins 55 secs,0 mins 35 secs,15 mins 30 secs,15.30
Auto,11/7/2016,08:42:08,WINDPLM,DEV5,wind_dev_4_12,all,PLM-WINDPLM-APP,1217,PLM-WINDPLM-DB,1034,6 mins 41 secs,0 mins 49 secs,7 mins 30 secs,7.30
Auto,11/7/2016,08:47:02,WINDPLM,DEV3,wind_dev_4_8,app,PLM-WINDPLM-APP,1218,,,0 mins 0 secs,,0 mins 0 secs,0.0
Auto,11/7/2016,08:54:18,WINDPLM,DEV4,wind_dev_4_7,all,PLM-WINDPLM-APP,1219,PLM-WINDPLM-DB,1035,6 mins 13 secs,0 mins 37 secs,6 mins 51 secs,6.51
Auto,11/7/2016,09:06:09,WINDPLM,QA2,Release_4_12,db,PLM-WINDPLM-APP,1220,PLM-WINDPLM-DB,1036,5 mins 20 secs,0 mins 47 secs,6 mins 7 secs,6.7
Auto,11/7/2016,09:11:21,WINDPLM,QA3,Release_4_6,db,PLM-WINDPLM-APP,1221,PLM-WINDPLM-DB,1037,5 mins 23 secs,0 mins 40 secs,6 mins 3 secs,6.3
Manual,11/7/2016,10:12:33,ENERGYPLM,QA1,Release_6_1_40,all,PLM-ENERGYPLM-APP,470,PLM-ENERGYPLM-DB,385,3 mins 44 secs,0 mins 40 secs,4 mins 24 secs,4.24
Manual,11/7/2016,10:45:58,NuclearPLM,PROD,Release_4_0,all,PLM-NuclearPLM-APP,141,PLM-NuclearPLM-DB,128,0 mins 0 secs,0 mins 58 secs,0 mins 58 secs,0.58
Manual,11/7/2016,11:01:08,NuclearPLM,DEV,Release_4_0,all,PLM-NuclearPLM-APP,142,PLM-NuclearPLM-DB,129,0 mins 0 secs,0 mins 35 secs,0 mins 35 secs,0.35
Auto,11/7/2016,11:39:11,WINDPLM,DEV4,wind_dev_4_7,app,PLM-WINDPLM-APP,1222,,,0 mins 0 secs,,0 mins 0 secs,0.0
Manual,11/7/2016,12:43:50,POWERPLM,DEV1,Release_1_0,all,PLM-POWERPLM-APP,135,PLM-POWERPLM-DB,111,0 mins 0 secs,0 mins 46 secs,0 mins 46 secs,0.46
Auto,11/7/2016,23:42:36,WINDPLM,DEV3,wind_dev_4_8,db,PLM-WINDPLM-APP,1223,PLM-WINDPLM-DB,1038,5 mins 54 secs,0 mins 38 secs,6 mins 33 secs,6.33
Auto,11/8/2016,00:50:41,WINDPLM,QA2,Release_4_12,app,PLM-WINDPLM-APP,1224,,,6 mins 7 secs,,6 mins 7 secs,6.7
